Author,Rating,Helpful_upVotes,Helpful_downVotes,Summary,Review,Compound,Sentiment_label,Negative,Neutral,Positive
pranayjalvi,7,7,0,delicate portrayal friendship,happens friend start living apart life full struggle hardship lot dream ambition fulfilled soulmate manages tell story friendship change develops character course life beautiful chemistry great bond elegantly displayed kim da mi jeon neein essence film focus story character personal journey transition adolescence adulthood movie capture beautiful still jeju island nostalgic bgm make pleasant watchmy rating,0.9823,positive,0.056,0.54,0.404
Prachi_D_P,7,4,0,morning milky way,movie based book also there chinese version original movie released kim dami one favorite actress despite excellent performance every role there something expression feel real connectes well key highlight movie story camera play feel old vibe jeju islandtwo best friend opposite personality becoming really close bond form character build world create within never actually released impactful someone presence life,0.9494,positive,0.04,0.669,0.291
nicoleoro-07650,10,14,1,every tear worth,soulmate beautiful take friendship truly mean soul mate cried lot watching movie beautiful kim da mi brilliant actress role solidifies ability take anything stood jeon nee quiet charm ease gentleness screen capture role play wella welldirected movie merge past present never left confused even cliffhanger part played correctly give watch youve seen beach want watch something stir,0.9852,positive,0.032,0.521,0.447
huynhtrantuanhuy,6,12,29,story good overall disappointing,highlight movie one beautiful movie vibrant color realistic footage koreaunique harmonious filming angle worst movie acting actor incomplete cant highlight character personality like original bookcharacter building situation confusing hard followthe created world revolves around main character emptythe film intertwine well past presentoverall recommend want enjoy entertainment movie focus detail acting interesting story plot recommend check original book movie soulmate chinese version,0.987,positive,0.079,0.438,0.483
Andynzia,10,15,2,beautiful storyline strong acting,soulmate delivers sweetness pain friendship kim dami jeon sonees chemistry make feel strong bond deep emotionsthe cinematography beautiful warm giving lot impression good old day jeju islandi love detail used film painting earring several thing really support storythe narration neat several twist finally slapped bitter reality make feel broken sad miss best friendat end know really deserve called soulmate,0.9844,positive,0.141,0.406,0.453
pgdyrvc,7,0,0,beautiful chinese version emotional,rewatched chinese version right finishing one opinion version feature stunning visuals feel lighter easier digest hand chinese version come across mature darker tragic tone chinese version also bettercomposed ending delivers cohesive narrativethe chinese version enhance viewing experience even watching one includes dialogue provides additional explanation certain action carried outcharacterwise miso feel natural anshen childlike selfish vibe haeun appears sweeter whereas july dynamic help fill gap storyline,0.9217,positive,0.073,0.671,0.255
jjursenas,9,6,0,great story astonishing acting,movie awesome story real deep make wipe tear great movie real friendship deep meaningful life full beautiful moment dissapointments real emotion like friendship love anger dedication lot kim da mi fire good acting becomes one favorite asian actressesmovie slow paced step step leading till peak real emotional bomb exploding mind within astonishing moment playfull emotional sometimes sad hero action questionable overall movie great choice,0.9819,positive,0.141,0.436,0.423
alaningle7,9,7,1,thats everyones face different,soulmates title ahn miso kim dami go haeunjeon sonee meet age eleven immediately hit one outgoing brash thoughtful reserved together bring comfort strength going well boy added mix become estranged movie follows life sixteen year matter far drift apart constant longing comfort others company well acted movie pacing slow thoughtful draw everlasting friendship two lead even though time seems broken,0.9485,positive,0.055,0.632,0.313
hoshouchian,3,1,10,lost translation,completely missed mark made original effective uniquenot even single element came close reaching high bar set original butchered effort resorting typical melodrama without strong direction behind camera interweave element something cohesive extraordinary nuance detail lost translation clear struggle understand essence separate original comingofage talesthe acting entire cast solid best material given writer actually sprinkled fresh snippet make remake distinct execution standard cinematography uninteresting editing pedestrian direction bland there stylein opinion remake fails realise made original special please waste time indulge entertain kind mediocrity,0.9502,positive,0.146,0.543,0.311
aninhamundim,10,4,1,love mix empty lonely feeling,havent read book watched original movie yet plan thowell understand people wont say perfect movie anything like tbh felt much watching cant put straightly wordssoulmate brings narrative friendship love different view think thay pay attention smallest phrase moment youll get deep people others life human relationship way complex understandi couldnt help cry felt much piece kept thinking live hoping dream thought hold u end narrative made go back thought giving wanting keep going feel cant say movie hasnt make hope understand truly relation real feelingsit hard hold perspective empty life watching highly recommend movie,0.944,positive,0.105,0.66,0.235
kawsarnaharmim,9,2,0,brightest moment together,two friend totally opposite living dream differently actually one living parent dream one living friend dream way depict character amazing freedom another word nothing lose literally hit hard end live life totally opposite lived spoiler baby blessing gave responsibility settle there nothing wrong either living carefree life living settled life every life beautiful till enjoy itthe movie great way protray every single character marvelous rise transition emotion give pure joy simple complex time feel like schrodinger smiley happy sad timewhy watch movie well college day everyone named duo soulmate friendroommate reason started watching movie used share every single moment life laugh cry study try travel altogether brightest moment together well im straight dont mean otherwise dont talk much maybe still know well need maybe im delusional ha ha ha,0.9975,positive,0.04,0.499,0.462
Maya_Rizk,10,0,0,gorgeous deep,film poetic sweet long time since ive seen film spiritual delicacythe scene dialogue beautiful profound kim dami jeon sonees acting impeccable conveying exactly deep essence charactersin opinion korean version film surpassed original chinese version every aspectthis type friendship truly soulmates something rare see especially nowadays relationship superficial conditioned selfinterestthis film totally heartwarming highly recommend,0.9659,positive,0.0,0.687,0.313
solomedia-59184,10,0,0,ive watched many movie,ever since forever ive spent time understandimg movie series impact effect normal physiology philosophy living ecosystem loved watching soulmate movie joke doesnt create scene arrow hit u considering expert fact cant ignored first hit movie hour long took hour rewatching sceneswhen go watch movie lemme explain something last scene movie icey area someone left started traveling alone maker took scene half put end make thing well need watch one time behalf sacrificesits opinion ive feltgamsahaeyo thanks koren,0.9209,positive,0.043,0.766,0.191
qalbiannisa,9,0,0,beautiful worth watch,movie incredibly emotional chemistry haeun miso strong making friendship feel real heartfelt connection highlight film easy get attached storyone best part movie small detail cat omma add personality friendship make film feel even personali watched friend cried even though knew going happen emotion still hit hard movie great job showing friendship change time thats make relatable overly dramatic still make impactjinwoos character interesting didnt get enough story happened child deal everything thats need soulmate,0.9889,positive,0.039,0.568,0.393
PedroPires90,9,0,0,soulmates,dont know ive ever cried much life beautiful warm melancholic sad never felt exactly friend child felt nostalgic simpler time everything came crashing ruining everything pure worldi wish experienced connection like childhood wish connection like could last forever also filmed beautifully sound component really pull eemotions yes manipulative problem done perfect way wont forget movie dont know ill ever strength watch,0.9609,positive,0.157,0.472,0.371
